case,execution,evaluation,apogee_m,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_acceleration_g,peak_powered_specific_force_estimate_g,peak_powered_speed_m_s
empty-A8-3-wind0,completed,outside configured limits,7.688653494540828,6.84208495417975,1.7634733807760201,,11.247667727037735,0.3232319612055395,5.542146748549443,6.54113991277844,8.835482439587741
empty-A8-3-wind2,completed,outside configured limits,7.6554417146883305,6.834724745970673,0.7412528569920422,,10.625846032963135,0.5768977284641994,5.538714699930132,6.537707864162943,8.809429942501716
empty-B4-4-wind0,completed,outside configured limits,26.740331677734343,8.58962243258586,1.5810474773627434,14.3724572149061,4.7667151268594665,3.1228682549073947,7.416940458097692,8.415933657160034,17.905760934309093
empty-B4-4-wind2,completed,outside configured limits,25.993492381266602,8.581700258062488,0.772805788082242,14.822256069982515,4.764980421489373,5.33575599900861,7.414760910592051,8.413754109654851,17.680624041677564
empty-C6-3-wind0,completed,outside configured limits,92.7442074964357,9.303895175425858,1.6051749508377444,2.267230306898946,4.755977500983187,0.03978684747938286,8.073568924345102,9.072562072077224,36.07488216784535
empty-C6-3-wind2,completed,outside configured limits,89.20793733600738,9.296532525463194,1.0681971196889555,5.851160952121115,4.755923317698327,10.931690508579187,8.068396465498333,9.067389613237019,35.90076050274481
empty-C6-5-wind0,completed,outside configured limits,92.78217160212601,9.303895175425858,1.1001919284304196,12.340164751035099,4.755977563121893,1.4525484758594278,8.073568924345102,9.072562072077224,36.07488216784535
empty-C6-5-wind2,completed,outside configured limits,89.24361472202932,9.296532525463194,1.0681971196889555,17.881635049871882,4.755923302722107,6.244442764527138,8.068396465498333,9.067389613237019,35.90076050274481
empty-C5-3-wind0,completed,incomplete inputs,75.7727944134075,13.290078272617679,1.5148767253563264,3.747417940535198,4.76396235070459,0.02172331557797938,12.188998799924088,13.187991793765576,27.857236170159393
empty-C5-3-wind2,completed,incomplete inputs,74.09545612668137,13.283005314591557,1.0252370654938718,4.91102211232254,4.763908044109378,14.360938536469071,12.17926915724068,13.178262151150443,27.67950542450221
dummy-A8-3-wind0,completed,outside configured limits,4.9571983351934445,5.533072530156202,2.396831900381097,,9.687812956024917,0.09893773226562923,4.487482862632714,5.486476043903881,6.484686824940882
dummy-A8-3-wind2,completed,outside configured limits,4.946378080958339,5.527480088512397,1.4012917055571938,,9.135589090201018,0.32953415153987936,4.4857333788738805,5.484726560145837,6.468027781656951
dummy-B4-4-wind0,completed,outside configured limits,17.99336340533361,7.1973893723192885,2.378963476526818,,15.794877770483847,0.5408872348199417,6.07982318206112,7.078816388833109,13.664576535579858
dummy-B4-4-wind2,completed,outside configured limits,17.382237065782657,7.191012482915932,1.5327209208385775,,17.550887346674237,6.822952964757868,6.078758551495217,7.077751758267142,13.446837070649146
dummy-C6-3-wind0,completed,outside configured limits,67.28645028322545,8.000496830969139,1.6145257751284328,2.938547453738297,5.201797247937411,0.02432478530322746,6.662941584793199,7.661934751103244,28.537294702517798
dummy-C6-3-wind2,completed,outside configured limits,63.1107925942777,7.994233113380351,1.683040133468542,7.923267584151772,5.201737906607511,6.308397045372761,6.6598721282931415,7.658865294606424,28.4185251530632
dummy-C6-5-wind0,completed,outside configured limits,67.28645028322545,8.000496830969139,1.6145257751284328,17.59698684237208,5.201797211580776,1.3522957912170888,6.662941584793199,7.661934751103244,28.537294702517798
dummy-C6-5-wind2,completed,outside configured limits,63.1107925942777,7.994233113380351,1.683040133468542,23.14018039012678,5.201737915778196,29.05646151176629,6.6598721282931415,7.658865294606424,28.4185251530632
dummy-C5-3-wind0,completed,incomplete inputs,53.854598816387224,12.176156484253662,2.175707298603397,8.813099934962946,5.209099017513141,0.13583348882009347,10.135337249518232,11.134330290521829,21.372352203328255
dummy-C5-3-wind2,completed,outside configured limits,51.889412922867585,12.170268864442166,1.8550437118853738,10.101222964515513,5.209039640327405,1.0953794993530845,10.127892538976763,11.126885580017067,21.234835090845866
actual-A8-3-wind0,completed,outside configured limits,4.9571983351934445,5.533072530156202,2.396831900381097,,9.687812956024917,0.09893773226562923,4.487482862632714,5.486476043903881,6.484686824940882
actual-A8-3-wind2,completed,outside configured limits,4.946378080958339,5.527480088512397,1.4012917055571938,,9.135589090201018,0.32953415153987936,4.4857333788738805,5.484726560145837,6.468027781656951
actual-B4-4-wind0,completed,outside configured limits,17.99336340533361,7.1973893723192885,2.378963476526817,,15.794877770483852,0.5408872348199417,6.07982318206112,7.078816388833109,13.664576535579858
actual-B4-4-wind2,completed,outside configured limits,17.382237065782657,7.191012482915932,1.5327209208385775,,17.550887346674244,6.822952964757868,6.078758551495217,7.077751758267142,13.446837070649146
actual-C6-3-wind0,completed,outside configured limits,67.28645028322545,8.000496830969139,1.6145257751284354,2.938547453738297,5.201797247937411,0.02432478530322746,6.662941584793199,7.661934751103244,28.537294702517798
actual-C6-3-wind2,completed,outside configured limits,63.110792594277754,7.994233113380351,1.6830401334685434,7.9232675841517155,5.201737906607511,6.308397045372683,6.6598721282931415,7.658865294606424,28.4185251530632
actual-C6-5-wind0,completed,outside configured limits,67.28645028322545,8.000496830969139,1.6145257751284354,17.596986842372093,5.201797211580776,1.3522957912170896,6.662941584793199,7.661934751103244,28.537294702517798
actual-C6-5-wind2,completed,outside configured limits,63.110792594277754,7.994233113380351,1.6830401334685434,23.140180390126723,5.201737915778196,29.056461511766127,6.6598721282931415,7.658865294606424,28.4185251530632
actual-C5-3-wind0,completed,incomplete inputs,53.854598816387224,12.176156484253662,2.175707298603397,8.813099934962946,5.209099017513141,0.13583348882009347,10.135337249518232,11.134330290521829,21.372352203328255
