platform,profile,motor,report,completed,cases,pass_0_2,pass_0_2_4,failures,loaded_dry_mass_g,loaded_launch_mass_g,apogee_m,peak_powered_speed_m_s,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_specific_force_estimate_g
18-c5,nominal,C5-3,bt60-18-c5-nominal/report.md,9,9,6,6,"{""minimum_ascent_stability_cal"": 1, ""deployment_speed_m_s"": 2}",157.1487754861409,180.9487754861409,"[57.62030973436562, 59.49825716713795]","[22.949080695152468, 23.100946669204532]","[12.513869938633041, 12.520111627954684]","[1.6844800491488714, 1.9704081602114445]","[7.432039103937342, 8.61605220401883]","[5.082737202005816, 5.082795153667977]","[0.06161777740781607, 2.9307117020593507]","[11.65845729366783, 11.666504308967212]"
24-cd,nominal,C11-3,bt60-24-cd-nominal/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""minimum_ascent_stability_cal"": 2}",162.1487754861409,197.4487754861409,"[74.01928546892013, 74.73934544025272]","[37.08165520332021, 37.20935039270219]","[12.071506956505464, 12.077346922378911]","[1.3519193856569505, 1.794750138696961]","[3.7714227077194193, 3.884805648312923]","[5.309494435631656, 5.309554954397882]","[0.02011707177713845, 20.905436094255478]","[11.425653404714568, 11.433238403384795]"
24-cd,nominal,C11-5,bt60-24-cd-nominal/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",162.1487754861409,197.4487754861409,"[74.22471530866608, 74.91198551963483]","[37.08165520332021, 37.20935039270219]","[12.071506956505464, 12.077346922378911]","[0.9060608864843197, 1.6786805142460894]","[11.768502984968842, 12.635447277098265]","[5.309494326911845, 5.30955496593676]","[1.009844199510905, 14.341881143085981]","[11.425653404714568, 11.433238403384795]"
24-cd,nominal,D12-3,bt60-24-cd-nominal/report.md,9,9,0,0,"{""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 4}",162.1487754861409,204.7487754861409,"[181.14182826991993, 182.52527348382011]","[63.12373261713272, 63.26924755188188]","[13.017577204263132, 13.0230616013495]","[1.2394923892014909, 1.6571899235337488]","[19.742251013623868, 19.780004827916475]","[5.283660479845367, 5.283720743218805]","[0.048933434319598026, 52.333328688614]","[15.077485946407217, 15.085187017196153]"
24-cd,nominal,D12-5,bt60-24-cd-nominal/report.md,9,9,5,5,"{""minimum_ascent_stability_cal"": 4}",162.1487754861409,204.7487754861409,"[196.07112079631054, 197.84682845022266]","[63.12373261713272, 63.26924755188188]","[13.017577204263132, 13.0230616013495]","[1.0798573164774727, 1.546435104891895]","[0.4918745363809636, 2.7458316146638704]","[5.283660518697129, 5.283720751121924]","[0.09067114234939426, 50.341300153967616]","[15.077485946407217, 15.085187017196153]"
24-cd,nominal,D12-7,bt60-24-cd-nominal/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",162.1487754861409,204.7487754861409,"[196.07112079631054, 197.84682845022266]","[63.12373261713272, 63.26924755188188]","[13.017577204263132, 13.0230616013495]","[1.0798573164774727, 1.546435104891895]","[13.252638499612482, 18.04051891492022]","[5.283660521907863, 5.283720752239619]","[0.9129644879517903, 38.58451786868734]","[15.077485946407217, 15.085187017196153]"
24-e,nominal,E12-4,bt60-24-e-nominal/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",161.1487754861409,221.0487754861409,"[324.5172412757032, 326.77409510022]","[87.79861214334804, 87.93528166866595]","[13.318526421508675, 13.323652821847073]","[1.0514568828487674, 1.4618044609721208]","[19.74133289854762, 19.751699282831098]","[5.3051975150054105, 5.305257971524006]","[0.12910299766722141, 91.75915080305836]","[15.566380811940949, 15.573448323509272]"
24-e,nominal,E12-6,bt60-24-e-nominal/report.md,9,9,4,4,"{""minimum_ascent_stability_cal"": 5}",161.1487754861409,221.0487754861409,"[339.29687444555526, 341.99547124818537]","[87.79861214334804, 87.93528166866595]","[13.318526421508675, 13.323652821847073]","[1.0514568828487674, 1.2793762064901613]","[0.5124216358127937, 3.228983705921857]","[5.305197482108477, 5.305258010025981]","[0.19704612660067433, 88.68089127563222]","[15.566380811940949, 15.573448323509272]"
24-e,nominal,E12-8,bt60-24-e-nominal/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",161.1487754861409,221.0487754861409,"[339.29687444555526, 341.99547124818537]","[87.79861214334804, 87.93528166866595]","[13.318526421508675, 13.323652821847073]","[1.0514568828487674, 1.2793762064901613]","[13.305801489563413, 18.768734364666585]","[5.305197439281055, 5.305257993614269]","[0.7949524282549165, 75.98082151305019]","[15.566380811940949, 15.573448323509272]"
18-c5,upper-avionics,C5-3,bt60-18-c5-upper-avionics/report.md,9,9,4,4,"{""minimum_ascent_stability_cal"": 1, ""deployment_speed_m_s"": 4}",165.6987754861409,189.49877548614091,"[51.889412922867606, 53.854598816387224]","[21.23483509084586, 21.372352203328255]","[12.170268864442166, 12.176156484253662]","[1.8550437118853738, 2.175707298603396]","[8.813099934962946, 10.10122296451561]","[5.209039640327405, 5.209099017513141]","[0.13583348882009347, 1.0953794993530952]","[11.126885580017067, 11.134330290521829]"
