body_mm,nose_mm,nose_shape,span_mm,inferred_c11_launch_mass_g,manufacturer_limit_g,within_limit
500.0,40.0,conical,45.0,208.3635441493899,170.0,False
500.0,40.0,conical,50.0,209.55648520476092,170.0,False
500.0,40.0,conical,53.65384615384615,210.4282498221474,170.0,False
500.0,40.0,conical,55.0,210.74942626013186,170.0,False
500.0,40.0,conical,65.0,213.1353083708739,170.0,False
500.0,50.0,conical,45.0,208.99322487468237,170.0,False
500.0,50.0,conical,50.0,210.1861659300534,170.0,False
500.0,50.0,conical,53.65384615384615,211.0579305474399,170.0,False
500.0,50.0,conical,55.0,211.3791069854244,170.0,False
500.0,50.0,conical,65.0,213.76498909616635,170.0,False
500.0,60.0,conical,45.0,209.622905599975,170.0,False
500.0,60.0,conical,50.0,210.815846655346,170.0,False
500.0,60.0,conical,53.65384615384615,211.6876112727325,170.0,False
500.0,60.0,conical,55.0,212.00878771071697,170.0,False
500.0,60.0,conical,65.0,214.394669821459,170.0,False
500.0,70.0,conical,45.0,210.25258632526752,170.0,False
500.0,70.0,conical,50.0,211.44552738063854,170.0,False
500.0,70.0,conical,53.65384615384615,212.31729199802504,170.0,False
500.0,70.0,conical,55.0,212.63846843600953,170.0,False
500.0,70.0,conical,65.0,215.0243505467515,170.0,False
500.0,40.0,ellipsoid,45.0,212.07762844982733,170.0,False
500.0,40.0,ellipsoid,50.0,213.27056950519832,170.0,False
500.0,40.0,ellipsoid,53.65384615384615,214.14233412258483,170.0,False
500.0,40.0,ellipsoid,55.0,214.4635105605693,170.0,False
500.0,40.0,ellipsoid,65.0,216.8493926713113,170.0,False
500.0,50.0,ellipsoid,45.0,213.33667689918346,170.0,False
500.0,50.0,ellipsoid,50.0,214.52961795455448,170.0,False
500.0,50.0,ellipsoid,53.65384615384615,215.40138257194099,170.0,False
500.0,50.0,ellipsoid,55.0,215.72255900992548,170.0,False
500.0,50.0,ellipsoid,65.0,218.10844112066746,170.0,False
500.0,60.0,ellipsoid,45.0,214.5957232488103,170.0,False
500.0,60.0,ellipsoid,50.0,215.7886643041813,170.0,False
500.0,60.0,ellipsoid,53.65384615384615,216.6604289215678,170.0,False
500.0,60.0,ellipsoid,55.0,216.98160535955225,170.0,False
500.0,60.0,ellipsoid,65.0,219.36748747029426,170.0,False
500.0,70.0,ellipsoid,45.0,215.85478086455805,170.0,False
500.0,70.0,ellipsoid,50.0,217.04772191992907,170.0,False
500.0,70.0,ellipsoid,53.65384615384615,217.91948653731558,170.0,False
500.0,70.0,ellipsoid,55.0,218.24066297530004,170.0,False
500.0,70.0,ellipsoid,65.0,220.62654508604206,170.0,False
500.0,40.0,ogive,45.0,211.02136670992488,170.0,False
500.0,40.0,ogive,50.0,212.2143077652959,170.0,False
500.0,40.0,ogive,53.65384615384615,213.0860723826824,170.0,False
500.0,40.0,ogive,55.0,213.40724882066687,170.0,False
500.0,40.0,ogive,65.0,215.79313093140888,170.0,False
500.0,50.0,ogive,45.0,211.96919483047978,170.0,False
500.0,50.0,ogive,50.0,213.1621358858508,170.0,False
500.0,50.0,ogive,53.65384615384615,214.0339005032373,170.0,False
500.0,50.0,ogive,55.0,214.3550769412218,170.0,False
500.0,50.0,ogive,65.0,216.74095905196376,170.0,False
500.0,60.0,ogive,45.0,212.92953368653622,170.0,False
500.0,60.0,ogive,50.0,214.12247474190724,170.0,False
500.0,60.0,ogive,53.65384615384615,214.99423935929372,170.0,False
500.0,60.0,ogive,55.0,215.31541579727818,170.0,False
500.0,60.0,ogive,65.0,217.70129790802022,170.0,False
500.0,70.0,ogive,45.0,213.8995754025547,170.0,False
500.0,70.0,ogive,50.0,215.0925164579257,170.0,False
500.0,70.0,ogive,53.65384615384615,215.9642810753122,170.0,False
500.0,70.0,ogive,55.0,216.28545751329668,170.0,False
500.0,70.0,ogive,65.0,218.67133962403867,170.0,False
530.0,40.0,conical,45.0,209.8635441493899,170.0,False
530.0,40.0,conical,50.0,211.05648520476092,170.0,False
530.0,40.0,conical,53.65384615384615,211.92824982214742,170.0,False
530.0,40.0,conical,55.0,212.24942626013188,170.0,False
530.0,40.0,conical,65.0,214.6353083708739,170.0,False
530.0,50.0,conical,45.0,210.49322487468237,170.0,False
530.0,50.0,conical,50.0,211.6861659300534,170.0,False
530.0,50.0,conical,53.65384615384615,212.5579305474399,170.0,False
530.0,50.0,conical,55.0,212.8791069854244,170.0,False
530.0,50.0,conical,65.0,215.26498909616635,170.0,False
530.0,60.0,conical,45.0,211.12290559997504,170.0,False
530.0,60.0,conical,50.0,212.315846655346,170.0,False
530.0,60.0,conical,53.65384615384615,213.18761127273254,170.0,False
530.0,60.0,conical,55.0,213.508787710717,170.0,False
530.0,60.0,conical,65.0,215.89466982145902,170.0,False
530.0,70.0,conical,45.0,211.75258632526754,170.0,False
530.0,70.0,conical,50.0,212.94552738063854,170.0,False
530.0,70.0,conical,53.65384615384615,213.81729199802507,170.0,False
530.0,70.0,conical,55.0,214.13846843600953,170.0,False
530.0,70.0,conical,65.0,216.52435054675152,170.0,False
530.0,40.0,ellipsoid,45.0,213.57762844982733,170.0,False
530.0,40.0,ellipsoid,50.0,214.77056950519835,170.0,False
530.0,40.0,ellipsoid,53.65384615384615,215.64233412258483,170.0,False
530.0,40.0,ellipsoid,55.0,215.96351056056932,170.0,False
530.0,40.0,ellipsoid,65.0,218.3493926713113,170.0,False
530.0,50.0,ellipsoid,45.0,214.83667689918346,170.0,False
530.0,50.0,ellipsoid,50.0,216.02961795455448,170.0,False
530.0,50.0,ellipsoid,53.65384615384615,216.90138257194099,170.0,False
530.0,50.0,ellipsoid,55.0,217.22255900992548,170.0,False
530.0,50.0,ellipsoid,65.0,219.60844112066746,170.0,False
530.0,60.0,ellipsoid,45.0,216.09572324881032,170.0,False
530.0,60.0,ellipsoid,50.0,217.2886643041813,170.0,False
530.0,60.0,ellipsoid,53.65384615384615,218.16042892156784,170.0,False
530.0,60.0,ellipsoid,55.0,218.48160535955228,170.0,False
530.0,60.0,ellipsoid,65.0,220.8674874702943,170.0,False
530.0,70.0,ellipsoid,45.0,217.35478086455808,170.0,False
530.0,70.0,ellipsoid,50.0,218.54772191992907,170.0,False
530.0,70.0,ellipsoid,53.65384615384615,219.41948653731558,170.0,False
530.0,70.0,ellipsoid,55.0,219.74066297530007,170.0,False
530.0,70.0,ellipsoid,65.0,222.12654508604206,170.0,False
530.0,40.0,ogive,45.0,212.52136670992488,170.0,False
530.0,40.0,ogive,50.0,213.7143077652959,170.0,False
530.0,40.0,ogive,53.65384615384615,214.5860723826824,170.0,False
530.0,40.0,ogive,55.0,214.9072488206669,170.0,False
530.0,40.0,ogive,65.0,217.29313093140888,170.0,False
530.0,50.0,ogive,45.0,213.46919483047978,170.0,False
530.0,50.0,ogive,50.0,214.6621358858508,170.0,False
530.0,50.0,ogive,53.65384615384615,215.5339005032373,170.0,False
530.0,50.0,ogive,55.0,215.8550769412218,170.0,False
530.0,50.0,ogive,65.0,218.24095905196376,170.0,False
530.0,60.0,ogive,45.0,214.42953368653625,170.0,False
530.0,60.0,ogive,50.0,215.62247474190724,170.0,False
530.0,60.0,ogive,53.65384615384615,216.49423935929372,170.0,False
530.0,60.0,ogive,55.0,216.8154157972782,170.0,False
530.0,60.0,ogive,65.0,219.20129790802022,170.0,False
530.0,70.0,ogive,45.0,215.39957540255472,170.0,False
530.0,70.0,ogive,50.0,216.5925164579257,170.0,False
530.0,70.0,ogive,53.65384615384615,217.46428107531221,170.0,False
530.0,70.0,ogive,55.0,217.78545751329668,170.0,False
530.0,70.0,ogive,65.0,220.1713396240387,170.0,False
560.0,40.0,conical,45.0,211.36354414938992,170.0,False
560.0,40.0,conical,50.0,212.55648520476092,170.0,False
560.0,40.0,conical,53.65384615384615,213.42824982214742,170.0,False
560.0,40.0,conical,55.0,213.74942626013188,170.0,False
560.0,40.0,conical,65.0,216.1353083708739,170.0,False
560.0,50.0,conical,45.0,211.9932248746824,170.0,False
560.0,50.0,conical,50.0,213.1861659300534,170.0,False
560.0,50.0,conical,53.65384615384615,214.05793054743992,170.0,False
560.0,50.0,conical,55.0,214.3791069854244,170.0,False
560.0,50.0,conical,65.0,216.7649890961664,170.0,False
560.0,60.0,conical,45.0,212.62290559997504,170.0,False
560.0,60.0,conical,50.0,213.815846655346,170.0,False
560.0,60.0,conical,53.65384615384615,214.68761127273254,170.0,False
560.0,60.0,conical,55.0,215.008787710717,170.0,False
560.0,60.0,conical,65.0,217.39466982145902,170.0,False
560.0,70.0,conical,45.0,213.25258632526754,170.0,False
560.0,70.0,conical,50.0,214.44552738063854,170.0,False
560.0,70.0,conical,53.65384615384615,215.31729199802507,170.0,False
560.0,70.0,conical,55.0,215.63846843600953,170.0,False
560.0,70.0,conical,65.0,218.02435054675152,170.0,False
560.0,40.0,ellipsoid,45.0,215.07762844982736,170.0,False
560.0,40.0,ellipsoid,50.0,216.27056950519835,170.0,False
560.0,40.0,ellipsoid,53.65384615384615,217.14233412258486,170.0,False
560.0,40.0,ellipsoid,55.0,217.46351056056932,170.0,False
560.0,40.0,ellipsoid,65.0,219.84939267131134,170.0,False
560.0,50.0,ellipsoid,45.0,216.3366768991835,170.0,False
560.0,50.0,ellipsoid,50.0,217.52961795455448,170.0,False
560.0,50.0,ellipsoid,53.65384615384615,218.401382571941,170.0,False
560.0,50.0,ellipsoid,55.0,218.72255900992548,170.0,False
560.0,50.0,ellipsoid,65.0,221.1084411206675,170.0,False
560.0,60.0,ellipsoid,45.0,217.59572324881032,170.0,False
560.0,60.0,ellipsoid,50.0,218.7886643041813,170.0,False
560.0,60.0,ellipsoid,53.65384615384615,219.66042892156784,170.0,False
560.0,60.0,ellipsoid,55.0,219.9816053595523,170.0,False
560.0,60.0,ellipsoid,65.0,222.3674874702943,170.0,False
560.0,70.0,ellipsoid,45.0,218.85478086455808,170.0,False
560.0,70.0,ellipsoid,50.0,220.04772191992907,170.0,False
560.0,70.0,ellipsoid,53.65384615384615,220.91948653731558,170.0,False
560.0,70.0,ellipsoid,55.0,221.24066297530007,170.0,False
560.0,70.0,ellipsoid,65.0,223.62654508604206,170.0,False
560.0,40.0,ogive,45.0,214.0213667099249,170.0,False
560.0,40.0,ogive,50.0,215.2143077652959,170.0,False
560.0,40.0,ogive,53.65384615384615,216.0860723826824,170.0,False
560.0,40.0,ogive,55.0,216.4072488206669,170.0,False
560.0,40.0,ogive,65.0,218.79313093140888,170.0,False
560.0,50.0,ogive,45.0,214.9691948304798,170.0,False
560.0,50.0,ogive,50.0,216.1621358858508,170.0,False
560.0,50.0,ogive,53.65384615384615,217.03390050323733,170.0,False
560.0,50.0,ogive,55.0,217.3550769412218,170.0,False
560.0,50.0,ogive,65.0,219.74095905196378,170.0,False
560.0,60.0,ogive,45.0,215.92953368653625,170.0,False
560.0,60.0,ogive,50.0,217.12247474190724,170.0,False
560.0,60.0,ogive,53.65384615384615,217.99423935929374,170.0,False
560.0,60.0,ogive,55.0,218.3154157972782,170.0,False
560.0,60.0,ogive,65.0,220.70129790802022,170.0,False
560.0,70.0,ogive,45.0,216.89957540255472,170.0,False
560.0,70.0,ogive,50.0,218.0925164579257,170.0,False
560.0,70.0,ogive,53.65384615384615,218.96428107531221,170.0,False
560.0,70.0,ogive,55.0,219.28545751329668,170.0,False
560.0,70.0,ogive,65.0,221.6713396240387,170.0,False
