design,body_mm,nose_mm,nose_shape,motor,fin_count,span_mm,variant,variant_size,wind_m_s,wind_heading_deg,launch_mass_g,loaded_cg_mm,added_mass_g,collar_mass_g,status,warnings,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m
b500-n50-conical-D12-3f-s45p0000-baseline-0,500,50,conical,D12-5,3,45,baseline,0,0,0,216.29322487468238,316.852889274983,0,24.935294327242488,completed,[],186.84986723220334,12.925391857133718,1.6846386047646036,1.425745559696137,4.857775964334371,0.08871063696205904
b500-n50-conical-D12-3f-s45p0000-baseline-0,500,50,conical,D12-5,3,45,baseline,0,2,0,216.29322487468238,316.852889274983,0,24.935294327242488,completed,[],185.1304481767866,12.923652820539038,1.394633575173439,3.082237235993099,4.857775881963219,52.76630275071477
b500-n50-conical-D12-3f-s45p0000-baseline-0,500,50,conical,D12-5,3,45,baseline,0,4,0,216.29322487468238,316.852889274983,0,24.935294327242488,completed,[],180.3820717778114,12.92166845723741,1.3289536170468117,5.910298147713704,4.857775740907513,104.72953534744698
b500-n50-conical-D12-3f-s50p0000-baseline-0,500,50,conical,D12-5,3,50,baseline,0,0,0,217.4861659300534,318.0138591383739,0,26.1282353826135,completed,[],183.94404527078305,12.84451176903493,2.124206518536152,1.894959073473581,4.872599451310459,0.08708919152473846
b500-n50-conical-D12-3f-s50p0000-baseline-0,500,50,conical,D12-5,3,50,baseline,0,2,0,217.4861659300534,318.0138591383739,0,26.1282353826135,completed,[],182.12675187211266,12.83927366058384,1.6714871792706567,3.412862057781428,4.8725993699565056,50.43111072071072
b500-n50-conical-D12-3f-s50p0000-baseline-0,500,50,conical,D12-5,3,50,baseline,0,4,0,217.4861659300534,318.0138591383739,0,26.1282353826135,completed,[],177.12063770149854,12.837296043953739,1.5723825872963546,6.360648868091247,4.872599297377327,99.72803954389873
b500-n50-conical-D12-3f-s53p6538-baseline-0,500,50,conical,D12-5,3,53.65384615384615,baseline,0,0,0,218.3579305474399,318.85423804973385,0,27.0,completed,[],181.83361878083824,12.783495813751514,1.6580826853896664,2.2378169264767886,4.883403535532278,0.0825637139097606
b500-n50-conical-D12-3f-s53p6538-baseline-0,500,50,conical,D12-5,3,53.65384615384615,baseline,0,2,0,218.3579305474399,318.85423804973385,0,27.0,completed,[],179.95582020852726,12.778192322983273,1.8724902177790859,3.668500536258598,4.883403451893663,48.79171184825298
b500-n50-conical-D12-3f-s53p6538-baseline-0,500,50,conical,D12-5,3,53.65384615384615,baseline,0,4,0,218.3579305474399,318.85423804973385,0,27.0,completed,[],174.77712695282676,12.776219610293268,1.7286561668330274,6.683131070322943,4.883403397043694,96.25557799582619
b500-n50-conical-D12-3f-s55p0000-baseline-0,500,50,conical,D12-5,3,55,baseline,0,0,0,218.6791069854244,319.16216232653267,0,27.321176437984473,completed,[],181.0625628949418,12.761139201124246,2.4952676867812773,2.3635721392767315,4.887378062806852,0.08322859109258916
b500-n50-conical-D12-3f-s55p0000-baseline-0,500,50,conical,D12-5,3,55,baseline,0,2,0,218.6791069854244,319.16216232653267,0,27.321176437984473,completed,[],179.16343964942828,12.755811486751996,1.9424879320567379,3.7642362714099042,4.887377891565421,48.201249740278584
b500-n50-conical-D12-3f-s55p0000-baseline-0,500,50,conical,D12-5,3,55,baseline,0,4,0,218.6791069854244,319.16216232653267,0,27.321176437984473,completed,[],173.91235206730738,12.753840644487246,1.7820669902159187,6.806581217233868,4.887377842339176,94.96946963859453
b500-n50-conical-D12-4f-s45p0000-baseline-0,500,50,conical,D12-5,4,45,baseline,0,0,0,219.87268503701065,320.29857893482955,0,28.51475448957076,completed,[],180.06168696998438,12.920435391840575,2.5130368276206965,2.4479236310436905,4.902119937954409,0.08270667816687195
b500-n50-conical-D12-4f-s45p0000-baseline-0,500,50,conical,D12-5,4,45,baseline,0,2,0,219.87268503701065,320.29857893482955,0,28.51475448957076,completed,[],178.18516647729297,12.91504443563076,1.8690494393045467,3.790975230152922,4.902119846716514,47.7731189275843
b500-n50-conical-D12-4f-s45p0000-baseline-0,500,50,conical,D12-5,4,45,baseline,0,4,0,219.87268503701065,320.29857893482955,0,28.51475448957076,completed,[],173.01228022967854,12.912967815303245,1.7402451306178288,6.803243712273223,4.902119695925125,94.20467193670015
b500-n50-conical-D12-4f-s50p0000-baseline-0,500,50,conical,D12-5,4,50,baseline,0,0,0,221.46327311083866,321.79399245540054,0,30.10534256339874,completed,[],176.46994654752183,12.810088682619131,2.7565791276282052,3.033442472335129,4.921696676345675,0.07649149336350453
b500-n50-conical-D12-4f-s50p0000-baseline-0,500,50,conical,D12-5,4,50,baseline,0,2,0,221.46327311083866,321.79399245540054,0,30.10534256339874,completed,[],174.50651321888634,12.804588935278916,2.1815645251841262,4.250834887397996,4.921696555868846,45.14312595814749
b500-n50-conical-D12-4f-s50p0000-baseline-0,500,50,conical,D12-5,4,50,baseline,0,4,0,221.46327311083866,321.79399245540054,0,30.10534256339874,completed,[],169.09572998900524,12.802526459258331,1.9674886984209305,7.331306657382416,4.921696509293601,88.74800683985602
